Časová značka,ID.dotaznik,ID.tazatel,ID.supervizor,Date,Incidence.number,A.1,A.2,A.3,B.1,B.2,B.3,B.4,B.5,B.5a,C.1,C.1a,C.1.1,C.1.2,D.1,D.1a,D.1.1,D.1.1a,D.1.2,D.1.3,D.1.4,E.1,E.1.1,E.1.2,E.1.2male,E.1.2female,E.1.3,E.1.3-8,E.1.4,E.1.5,E.1.5-1,F.1,F.1.1,F.1.2,F.1.3,G.1,G.1.1,G.2,G.2.1,G.2.2,G.2.3,G.2.3-15,H.1,H.2,H.2-2,H.3,H.4,H.5,H.6,prepsal,Type.of.incidence,A.2,A.3,B.1,B.2,B.3,B.4,B.5,B.5-answer,C.1,C.1-answer,C.1.1,C.1.2,D.1,D.1-answer,D.1.1,D.1.1-answer,D.1.2,D.1.3,D.1.4,E.1,E.1.1,E.1.2,E.1.3,E.1.4,E.1.4-answer,E.1.5,E.1.5-answer,F1.,F1.1,F.1.1-answer,F.1.2,F.1.3,G.1,G.1.1,G.2,G.2.1,G.2.1-answer,G.2.2,H.1,H.2,H.2-answer,H.3,H.4,H.5,H.6
10.7.2016 20:45:57,OOLB-377-2-28,ONPL,ONPL,22.4.2016,2,1,CHLAP OZRALEJ NAPADL DETI RESPONDENTKY. JEDNOMU DAL FACKU A CHTEL CHYTNOUT I DALSI. VYHROZOVAL ZBRANI. RESPONDENTKA SLA S MANZELEM NA MISTO A TEN TOHO CHLAPA ZBIL. MANZEL DOSTAL PODMINKU.,7,13,98,3,2,7,,2,,,,2,,,,,,,1,1,1,1,,4,,1,,,1,13,1,2,1,PROTOZE JIM NADAVAL.,1,,,,,MANZEL DOSTAL PODMINKU ZA NAPADENI. BYLI 4 SVEDCI NA 4 A POLICIE SE ZASTALA PACHATELE (PODLE RESPONDENTKY).,1,,1,1,3,7,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7.2016 20:50:11,OOLB-377-2-28,ONPL,ONPL,22.4.2016,3,11,"NA POKOJ PRISLA ZENSKA, KTERA SLIBOVALA, ZE VYRIDI RESPONDENCE PUJCKU. VZALA SI VSECHNY JEJI UDAJE, SLIBILA, ZE PENIZE POSLE POSTOU. TO SE NESTALO.",7,10,98,2,1,1,,1,UKRADLA KLIENTCE VSECHNY OSOBNI UDAJE.,6000,7,2,,,,,,,1,2,2,,1,5,,1,,,2,,,,2,,2,2,NIC,,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.7.2016 12:06:04,OOLB-377-2-53,ALBR,ALBR,22.4.2016,1,10,BRIGADNI PRACE - ZAMESTNAVATEL (VEDOUCI SMENY) POZADOVAL VYKONANI PRACE NAD SJEDNANE HODINY,5,4,98,98,1,9,,2,,,,2,,,,,,,1,2,2,,1,5,,37,1,C,2,,,,2,,2,3,,2,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.7.2016 12:20:46,JJIA-122-2-59,ADLA,LATO,1.7.2016,1,19,Respondentka se vratila domů a nasla vyloupeny byt,7,5,6,4,1,1,,1,"penize, cigarety, ukradene veci, rozbite dvere",3000,5,2,,,,,,,7,,,,,,,,,,2,,,,2,,1,,,,,udelali zapis,2,"rikaji, ze toho maji moc",2,3,3,6,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.7.2016 12:31:17,OOLD-146-1-42,ALBR,ALBR,22.4.2016,1,9,ZASTAL SA DRUZKY - NADAVALI IM DO CIGANOV,7,5,98,3,1,13,,2,,,,2,,,,,,,2,3,1,1,1,8,30;50,1,1,C,2,,,,1,BARVA PLETI - NADAVALI IM DO CIGANOV,1,,,,,"MP BOLI DRZI, NEVERILI IM, ZAVOLALI PcR",1,,4,1,1,7,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.7.2016 13:28:22,JJIA-122-2-59,ADLA,LATO,1.7.2016,2,9,"rasisticky zabarvene nadavky, ze je bila, atd. - kriceli do oken",7,2,4,6,1,1,,2,,,,2,,,,,,,5,3,98,,,8,obyvatele domu různeho veku - spise mladsi,29,1,R,2,,,,1,nadavky rasisticky motivovane,2,2,,3,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.7.2016 13:41:15,JJIA-122-2-15,ADLA,LATO,1.7.2016,1,9,"Respondetka sla do skoly a ""bili"" kluci ji nadavali do ciganů",6,2,4,2,1,7,,2,,,,2,,,,,,,3,1,98,,,2,,1,1,C,2,,,,1,nadavky do ciganů,2,2,,2,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.7.2016 14:26:03,TTAA-2034-2-16,VISO,VISO,17.5.2016,1,18,zniceny plot na zahrade,5,1,98,98,3,11,,1,poniceny plot,15000,5,2,,,,,,,7,,,,,,,,,,2,,,,2,,2,2,,"2, 7",,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.7.2016 14:29:36,TTAA-2034-2-16,VISO,VISO,17.5.2016,2,5,zapomnela penezenku a ta se pak vratila bez penez,4,5,7,4,3,20,,1,penize,1500,6,2,,,,,,,7,,,,,,,,,,2,,,,2,,2,2,,"2, 7",,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.7.2016 14:35:00,TTAA-2034-2-16,VISO,VISO,17.5.2016,3,14,"pred internatem, opily muz mel sexualni narazky",7,7,7,5,3,7,,2,,,,1,pohmozdena ruka,3,jen modrina,1,2,6,1,1,1,1,,4,,1,1,C,2,,,,2,,2,2,,11,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
